name,platform,category,base,downloads,rating,specialty,hardware,architecture,style,usecase,quality,modality,created_at,trending_score,popularity_score,source,lastUpdated,verified,subtitle,description,primaryUseCase,keyFeatures,performance,recommendedSettings,creator,license,modelSize,trainingDataset
Imagen4 Preview,DecentraModels,Text-to-Image,Google Proprietary,N/A,4.1,Commercial Quality,Varies,Google Proprietary,artistic,concept,standard,text-to-image,2024-11-28,89,13427,community,,true,,,,,,,,,,
FLUX.1 Pro Ultra,DecentraModels,Text-to-Image,FLUX,N/A,4.8,High Resolution,Varies,FLUX,artistic,concept,standard,text-to-image,2024-10-25,73,36020,community,,true,,,,,,,,,,
Recraft V3,DecentraModels,Text-to-Image,Proprietary,N/A,4.3,Typography & Vector,Varies,Proprietary,artistic,concept,standard,text-to-image,2024-10-19,45,75431,community,,true,,,,,,,,,,
HiDream-I1,DecentraModels,Text-to-Image,Open Source,N/A,4.2,Fast Generation,Varies,Open Source,artistic,concept,standard,text-to-image,2025-03-09,52,4142,community,,true,,,,,,,,,,
Stable Diffusion 3.5 Large,DecentraModels,Text-to-Image,SD 3.x,N/A,4.9,Prompt Adherence,Varies,SD 3.x,artistic,concept,standard,text-to-image,2024-10-01,14,23159,community,,true,,,,,,,,,,
FLUX.1 Kontext Pro,DecentraModels,Image-to-Image,FLUX,N/A,4.4,Reference-guided Editing,Varies,FLUX,artistic,concept,standard,text-to-image,2025-04-01,57,43701,community,,true,,,,,,,,,,
Ideogram Character Edit,DecentraModels,Image-to-Image,Proprietary,N/A,4.1,Character Consistency,Varies,Proprietary,artistic,concept,standard,text-to-image,2025-07-20,55,80815,community,,true,,,,,,,,,,
Veo 3,DecentraModels,Text-to-Video,Google Proprietary,N/A,4.7,Cinematic Quality,Varies,Google Proprietary,artistic,concept,standard,text-to-image,2025-01-20,81,50234,community,,true,,,,,,,,,,
Marey,DecentraModels,Text-to-Video,Proprietary,N/A,4.7,Licensed Data,Varies,Proprietary,artistic,concept,standard,text-to-image,2025-01-13,10,50004,community,,true,,,,,,,,,,
Kling 2.1 Master,DecentraModels,Image-to-Video,Proprietary,N/A,4.2,Motion Fluidity,Varies,Proprietary,artistic,concept,standard,text-to-image,2024-11-20,28,10828,community,,true,,,,,,,,,,
